Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Level1_Chargers,Level2_Chargers,DC_Fast_Chargers,EV_Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Connector_Types,Country,Total_Chargers,Total_Chargers_in_State
ELEC,HOSPITAL FHMC_9,1941 Johnson Ave,San Luis Obispo,CA,93401,E,Public,0.0,2.0,0.0,Chargepoint Network,35.278744,-120.651948,2/8/2024,199361,2024-02-08 00:39:37 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL DOC PARKING W,1418 E Church St,Santa Maria,CA,93454,E,Public,0.0,2.0,0.0,Chargepoint Network,34.952308,-120.413668,2/8/2024,199362,2024-02-08 00:53:11 UTC,J1772,US,2.0,49387.0
ELEC,HOSPITAL PRE ADMIT NORTH,1409 E Church St,Santa Maria,CA,93454,E,Public,0.0,2.0,0.0,Chargepoint Network,34.951691,-120.412924,2/8/2024,199363,2024-02-08 00:53:12 UTC,J1772,US,2.0,49387.0
ELEC,WHITTERTECH CHARGER1-2,115 Amesbury Line Rd,Haverhill,MA,1830,E,Public,0.0,2.0,0.0,Chargepoint Network,42.810888,-71.024799,2/8/2024,199365,2024-02-08 01:06:22 UTC,J1772,US,2.0,7357.0
ELEC,WHITTERTECH CHARGER5-6,115 Amesbury Line Rd,Haverhill,MA,1830,E,Public,0.0,2.0,0.0,Chargepoint Network,42.810961,-71.024792,2/8/2024,199366,2024-02-08 01:06:23 UTC,J1772,US,2.0,7357.0
ELEC,WHITTERTECH CHARGER3-4,115 Amesbury Line Rd,Haverhill,MA,1830,E,Public,0.0,2.0,0.0,Chargepoint Network,42.810905,-71.024759,2/8/2024,199367,2024-02-08 01:06:23 UTC,J1772,US,2.0,7357.0
ELEC,PASO VERDE EDC NUSD EV1&2,1901 Arena Blvd,Sacramento,CA,95834,E,Public,0.0,2.0,0.0,Chargepoint Network,38.647435,-121.503246,2/8/2024,199368,2024-02-08 01:07:39 UTC,J1772,US,2.0,49387.0
ELEC,PASO VERDE EDC NUSD EV3&4,1901 Arena Blvd,Sacramento,CA,95834,E,Public,0.0,2.0,0.0,Chargepoint Network,38.647531,-121.50326,2/8/2024,199369,2024-02-08 01:07:39 UTC,J1772,US,2.0,49387.0
ELEC,WESTSTAR TOWER LEVEL 2 STN 2,601 N Mesa St,El Paso,TX,79901,E,Public,0.0,2.0,0.0,Chargepoint Network,31.76191,-106.49024,2/8/2024,199370,2024-02-08 01:07:45 UTC,J1772,US,2.0,8804.0
ELEC,WESTSTAR TOWER LEVEL 2 STN 3,601 N Mesa St,El Paso,TX,79901,E,Public,0.0,2.0,0.0,Chargepoint Network,31.761883,-106.490347,2/8/2024,199371,2024-02-08 01:07:46 UTC,J1772,US,2.0,8804.0
ELEC,WESTSTAR TOWER LEVEL 2 STN 1,512 N Oregon St,El Paso,TX,79901,E,Public,0.0,2.0,0.0,Chargepoint Network,31.761326,-106.490068,2/8/2024,199372,2024-02-08 01:07:46 UTC,J1772,US,2.0,8804.0
ELEC,EAGLE AUTO MALL CT4000,1320 Old Country Rd,Riverhead,NY,11901,E,Public,0.0,2.0,0.0,Chargepoint Network,40.928873,-72.684689,2/8/2024,199375,2024-02-08 01:09:40 UTC,J1772,US,2.0,11452.0
ELEC,UCSF CAMPUS MBEVSE5,1625 Owens St,San Francisco,CA,94158,E,Public,0.0,2.0,0.0,Chargepoint Network,37.768303,-122.393709,2/8/2024,199378,2024-02-08 01:10:16 UTC,J1772,US,2.0,49387.0
ELEC,LANCASTER BEAM ARCH,4020 E Lancaster Blvd,Lancaster,CA,93535,E,Public,0.0,2.0,0.0,Chargepoint Network,34.694023,-118.05667,2/8/2024,199379,2024-02-08 01:10:30 UTC,J1772,US,2.0,49387.0
ELEC,DC CORRIDOR CRESCENT C DC2,655 US-101,Crescent City,CA,95531,E,Public,0.0,0.0,1.0,Chargepoint Network,41.750709,-124.181216,2/8/2024,199380,2024-02-08 01:10:40 UTC,CHADEMO J1772COMBO,US,1.0,49387.0
ELEC,ASPIRE STATION-11,9131 Darby Ave,Los Angeles,CA,91325,E,Public,0.0,1.0,0.0,Chargepoint Network,34.23617,-118.53406,2/8/2024,199381,2024-02-08 01:10:41 UTC,J1772,US,1.0,49387.0
ELEC,ASPIRE STATION-12,9131 Darby Ave,Los Angeles,CA,91325,E,Public,0.0,1.0,0.0,Chargepoint Network,34.236164,-118.534086,2/8/2024,199382,2024-02-08 01:10:41 UTC,J1772,US,1.0,49387.0
ELEC,CITY LIGHT BURIEN LIBRARY,15135 4th Ave SW,Burien,WA,98166,E,Public,0.0,0.0,1.0,Chargepoint Network,47.467371,-122.33941,2/8/2024,199383,2024-02-08 01:10:41 UTC,CHADEMO J1772COMBO,US,1.0,5842.0
ELEC,DC CORRIDOR LUCKY7 CASINO 2,350 N Indian Rd,Smith River,CA,95567,E,Public,0.0,0.0,1.0,Chargepoint Network,41.956729,-124.202217,2/8/2024,199384,2024-02-08 01:10:42 UTC,CHADEMO J1772COMBO,US,1.0,49387.0
